db_rowid,original,formatted_variant,suggested_reference,similarity_score
42542,Заречный б,ул. Заречный б,Заречный,88.89
42627,Л. Толсстого,ул. Л. Толсстого,Л. Толстого,95.65
42732,Иванова В,ул. Иванова В,Иванова,87.5
42785,кКуйбышева,ул. ККуйбышева,Куйбышева,94.74
42859,Карла Макса,ул. Карла Макса,Карла Маркса,95.65
42871,И Чугурина,ул. И Чугурина,И. Чугурина,95.24
43092,Кливерный проезд,пр-д Кливерный,Клеверный проезд,88.89
43132,Краснофлоцкая,ул. Краснофлоцкая,Краснофлотская,88.89
43133,Г.Корсакова,ул. Г.Корсакова,Р.Корсакова,90.91
43149,микр.Молодежный,ул. Микр.Молодежный,Молодежный,80.0
43161,1ая  Оранжерейная,ул. 1ая Оранжерейная,1-я Оранжерейная,93.75
43329,пр-т Чкалова,пр-кт Т Чкалова,пр.Чкалова,87.5
43417,Вязниковского,ул. Вязниковского,Вязниковская,80.0
43455,Р. Пискунова,ул. Р. Пискунова,Р.Пискунова,95.65
43489,Барская,ул. Барская,Борская,85.71
43494,Нарова,ул. Нарова,Нартова,92.31
43620,Г. Папова,ул. Г. Папова,гер. Попова,80.0
43883,Юлиуса Фичука,ул. Юлиуса Фичука,Юлиуса Фучика,84.62
43950,Г. Рябцова,ул. Г. Рябцова,Г. Рябцева,90.0
43968,Есина,ул. Есина,Есенина,83.33
43977,106,ул. 106,16,80.0
44138,Прлетарская,ул. Прлетарская,Пролетарская,95.65
44190,40 лет пионер. Организации,ул. 40 лет пионер. Организации,40 лет Пионерской Организации,87.27
44250,Краснокамская,ул. Краснокамская,Красноармейская,85.71
44440,Пленетная,ул. Пленетная,Планетная,88.89
44511,А-Невского,ул. А-Невского,А.Невского,90.0
44648,Б.-Юилейный,ул. Б.-Юилейный,Б.Юбилейный,90.91
44722,Пр. Ярморочный,пр-кт Ярморочный,Ярморочный пр-д,86.96
44737,"Б,Школьная","ул. Б,Школьная",Б.Школьная,90.0
44845,Н. Кольцова,ул. Н. Кольцова,Н.Кольцова,95.24
44895,Плбедная,ул. Плбедная,Победная,87.5
44935,Генерала Ивлиева И.Д.,д. Генерала Ивлиева И,Им.Генерала Ивлиева И.Д.,92.31
45098,Микр.Жуковского,ул. Микр.Жуковского,Жуковского,80.0
45139,Дубовская,ул. Дубовская,Фубровская,84.21
45240,Гер.Шнитникова,ул. Гер.Шнитникова,Г.Шнитникова,92.31
45276,Н.Советская,ул. Н.Советская,Советская,90.0
45387,Доброольцев,ул. Доброольцев,Добровольцев,95.65
45402,Г. Лопатина,ул. Г. Лопатина,Лопатина,84.21
45410,40 лет Пион. Организации,ул. 40 лет Пион. Организации,40 лет Пион.организации,93.62
45421,Кльтуры,ул. Кльтуры,Культуры,93.33
45555,Циолкоского,ул. Циолкоского,Циолковского,95.65
45568,Вол. Набержная,ул. Вол. Набержная,Волжская Набержная,81.25
45614,Г. Успенского,ул. Г. Успенского,Гл.Успенского,92.31
45621,Широковская,ул. Широковская,Кировская,80.0
45658,40 лет пион организации,ул. 40 лет пион организации,40 лет Пион.организации,91.3
45781,В. Волжская Набер.,ул. В. Волжская Набер,Волжская набер.,83.87
45798,С Разина,ул. С Разина,Разина,85.71
45804,Ген. Веденина,ул. Ген. Веденина,Генерала Веденина,80.0
45893,Новосмовская,ул. Новосмовская,Новосоветская,88.0
46307,А. Павлова,ул. А. Павлова,Ак.Павлова,90.0
46334,пр. Кап Рачкова,пр-кт Кап Рачкова,пр.кап.Рачкова,90.91
46414,Октю Революции,ул. Октю Революции,Окт. Революции,92.86
46594,А. Лешкова,ул. А. Лешкова,А.Пешкова,84.21
46671,Соборная,ул. Соборная,Свободная,82.35
46680,Гр. Шнитникова,ул. Гр. Шнитникова,Г.Шнитникова,92.31
46849,2 Луговая,ул. 2 Луговая,2я Луговая,94.74
46936,Общенствееный пер,пер. Общенствееный,пер.Общественный,88.0
46961,Нижигородская,ул. Нижигородская,Нижегородская,92.31
47058,60 Лет ВЛКСМ,ул. 60 Лет ВЛКСМ,60 лет ВЛКСМ,91.67
47117,ш. Моссковское,ш. Моссковское,Московское шоссе,95.24
47198,Болдинская,ул. Болдинская,Белинская,84.21
47204,пр. Кораблесироителей,пр-кт Кораблесироителей,пр-кт Кораблестроителей,94.12
47248,ген. Ивлева,ул. Ген. Ивлева,Ген. Ивлиева,95.65
47300,Сетлоярская,ул. Сетлоярская,Светлоярская,95.65
47360,Пролетерская,ул. Пролетерская,Пролетарская,91.67
47379,Канавеая,ул. Канавеая,Канавная,87.5
47390,Бурнакова,ул. Бурнакова,Бурнаковская,85.71
47503,Московсское шоссе,ш. Московсское,Московское шоссе,95.24
47635,Сельхозтехники,ул. Сельхозтехники,Сельхозтехника,92.86
47644,Фадаева,ул. Фадаева,Чадаева,85.71
47681,кв. Дружба,ул. Кв. Дружба,кв-л Дружба,85.71
47763,1 Песчаная,ул. 1 Песчаная,Песчаная,88.89
47773,Новосельная,ул. Новосельная,Новосельская,86.96
47868,Сиберякова,ул. Сиберякова,Сибирякова,90.0
47891,Своюоды,ул. Своюоды,Свободы,85.71
47914,Сергиевка,ул. Сергиевка,Сергиевская,90.0
47918,Б. Школьная,ул. Б. Школьная,Б.Школьная,95.24
47988,Бесарабенко,ул. Бесарабенко,Бессарабенко,95.65
48176,Сведлова,ул. Сведлова,Свердлова,94.12
48187,Юбилейный б р,ул. Юбилейный б р,Юбилейный б,91.67
48196,Коммустическая,ул. Коммустическая,Коммунистическая,93.33
48209,Р.Люксемберг,ул. Р.Люксемберг,Р.Люксембург,91.67
48260,Козцкого,ул. Козцкого,Козицкого,94.12
48361,Ю. Фучика,ул. Ю. Фучика,Юл. Фучика,94.74
48405,"Дубравная ,11 лин","ул. Дубравная ,11 лин",Дубравная 11 линия,91.43
48484,Б- Юбелейный,ул. Б- Юбелейный,Б Юбелейный,95.65
48524,Федосеенко9,ул. Федосеенко9,Федосеенко,95.24
48528,Б.Московская,ул. Б.Московская,Московская,90.91
48530,Янка Купалы,ул. Янка Купалы,Янки Купалы,90.91
48624,Мик-он Гоголя,ул. Мик-он Гоголя,Микр. Гоголя,80.0
48638,Ильинкинская,ул. Ильинкинская,Ильинская,85.71
48651,Мир,ул. Мир,Мира,85.71
48692,Сестер Рукавишниковых,ул. Сестер Рукавишниковых,Рукавишниковых,80.0
48720,6 ой Микрорайон,мкр. 6 ой,6ой Микрорайон,85.71
48905,Совхозна,ул. Совхозна,Совхозная,94.12
48940,Темерязева,ул. Темерязева,Тимирязева,80.0
48975,Волжский Рейд,ул. Волжский Рейд,Волжский рейд,92.31
48980,Сормоское шоссе,ш. Сормоское,Сормовское шоссе,94.74
49007,Краснх Зорь,ул. Краснх Зорь,Красных Зорь,95.65
49083,пр-кт Караблестроителей,пр-кт Караблестроителей,пр-кт Кораблестроителей,94.12
49119,Захарова,ул. Захарова,Захаровская,84.21
49249,Баенца,ул. Баенца,Баренца,92.31
49366,Бекмешова,ул. Бекмешова,Бекетова,82.35
49465,г. Маргелова,ул. Г. Маргелова,Ген. Маргелова,92.31
49485,Фруезе,ул. Фруезе,Фрунзе,83.33
49493,прКораблестроителей,ул. ПрКораблестроителей,Кораблестроителей,94.44
49500,пр.Союзынй,пр-кт Союзынй,пр-кт Союзный,85.71
49555,Миллионова,ул. Миллионова,Миллионовка,95.24
49590,ст. Разина,ул. Ст. Разина,Ст.Разина,94.74
49605,Октяб. Революции,ул. Октяб. Революции,Окт. Революции,93.33
49622,Н- Полянки,ул. Н- Полянки,Н. Полянки,90.0
49668,Даргрмыжского,ул. Даргрмыжского,Даргомыжского,92.31
49671,Г. Тихомирова,ул. Г. Тихомирова,Ген.Тихомирова,88.89
50135,Ильнская,ул. Ильнская,Ильинская,94.12
50154,Хохолова,ул. Хохолова,А.Хохлова,82.35
50202,5 линия,ул. 5 линия,2 линия,85.71
50239,Волжская Набер.,ул. Волжская Набер,Волжская набер.,92.86
50499,Г. Васильева,ул. Г. Васильева,Г.Васильева,95.65
50552,Мовсковское шоссе,ш. Мовсковское,Московское шоссе,95.24
50620,Гордеевкая,ул. Гордеевкая,Гордеевская,95.24
50635,Г. Комоса,ул. Г. Комоса,Г. Космоса,94.74
50638,Г. Чугунова,ул. Г. Чугунова,Гер.Чугунова,86.96
50654,пр.-кт Героев,пр-кт Кт Героев,Пр-т Героев,82.35
50675,Пристанционная,ул. Пристанционная,Станционная,80.0
50699,Л. Чайкиной,ул. Л. Чайкиной,Л.Чайкиной,95.24
50703,7 К оммунаров,ул. 7 К оммунаров,Коммунаров,86.96
50730,бр. Заречный,ул. Бр. Заречный,Б.Заречный,90.91
50743,Арк.Гайдара,ул. Арк.Гайдара,А.Гайдара,90.0
50774,Фадеевых,ул. Фадеевых,Фадеева,80.0
50897,б. 60-летия Октября,ул. Б. 60-летия Октября,60-летия Октября,91.43
50902,50-лнтия Победы,ул. 50-лнтия Победы,50-летия Победы,93.33
50930,пр-кт Кароблестроителей,пр-кт Кароблестроителей,пр-кт Коаблестроителей,90.91
50952,Щимборского,ул. Щимборского,Шимборского,90.91
50959,КарлаМ аркса,ул. КарлаМ аркса,Карла Маркса,91.67
50988,Черняховского 9,ул. Черняховского 9,Черняховского,92.86
50999,Беленского,ул. Беленского,Белинского,90.0
51044,пр. кт. Циолковского,пр-кт Кт. Циолковского,пр-т Циолковского,86.67
51049,50- Летия победы,ул. 50- Летия победы,50- Летия Победы,93.75
51055,Приовражная,ул. Приовражная,Придорожная,81.82
51074,Спктник,ул. Спктник,Спутника,80.0
51085,М. Ульяновой,ул. М. Ульяновой,Ульяновой,85.71
51132,Им.Ленина,ул. Им.Ленина,Ленина,80.0
51266,Свбоды,ул. Свбоды,Свободы,92.31
51308,Бассарабенко,ул. Бассарабенко,Бессарабенко,91.67
51318,едосеенко,ул. Едосеенко,Федосеенко,84.21
51320,Московскон ш,ш. Московскон,Московское шоссе,90.0
51391,40 Лет Победы,ул. 40 Лет Победы,40 лет Победы,92.31
51506,бульв.Заречный,ул. Бульв.Заречный,Б.Заречный,83.33
51509,ельникова,ул. Ельникова,Мельникова,84.21
51554,Г . Космоса,ул. Г . Космоса,Г. Космоса,95.24
51664,Заречнная,ул. Заречнная,Заречная,94.12
51665,Шимборскоо,ул. Шимборскоо,Шимборского,95.24
51689,Ст. Канава,ул. Ст. Канава,Ст.Канава,94.74
51718,м. Строитель,ул. М. Строитель,Строитель,85.71
51984,Годеевская,ул. Годеевская,Гордеевская,95.24
52029,Карла Маркса11,ул. Карла Маркса11,Карла Маркса,92.31
52047,Светлоряская,ул. Светлоряская,Светлорская,95.65
52067,Куйбышнва,ул. Куйбышнва,Куйбышева,88.89
52111,И.Богдановича,ул. И.Богдановича,Богдановича,91.67
52262,ш.Моковсое,ш. Моковсое,Московсое ш,94.12
52312,10 линия,ул. 10 линия,1 линия,93.33
52425,Пакрковая,ул. Пакрковая,Парковая,94.12
52528,кв -л. Дружба,ул. Кв -л. Дружба,кв-л Дружба,91.67
52533,Федрсеенко,ул. Федрсеенко,Федосеенко,90.0
52541,С. Заводская,ул. С. Заводская,Заводская,85.71
52574,М.Советская,ул. М.Советская,Советская,90.0
52729,Фнунзе,ул. Фнунзе,Фрунзе,83.33
52782,пр- кт Гагарина,пр-кт Кт Гагарина,пр-т Гагарина,85.71
52823,Акад. Баха,ул. Акад. Баха,Акад.Баха,94.74
52825,Марагина,ул. Марагина,Брагина,80.0
52837,А. Сахарова,ул. А. Сахарова,А. Макарова,81.82
53014,Лебедёвка,ул. Лебедевка,Лебедева,94.12
53078,Керамическая,ул. Керамическая,Керченская,81.82
53137,Дзержинкого,ул. Дзержинкого,Дзержинского,95.65
53175,Мичурино,ул. Мичурино,Мичурина,87.5
53234,Большая Перекрестная,ул. Большая Перекрестная,Большая Печерская,81.08
53370,К-Либкнехта,ул. К-Либкнехта,К.Либкнехта,90.91
53685,посю Специалистов,ул. Посю Специалистов,Специалистов,82.76
53737,Береовская,ул. Береовская,Березовская,95.24
53804,Владимирского,ул. Владимирского,Владимирская,80.0
53900,Олимпиская,ул. Олимпиская,Олимпийская,95.24
54083,Дубравная 11-я линия,ул. Дубравная 11-я линия,Дубравная 11 линия,94.74
54086,40 лет Пион.Организ.,ул. 40 лет Пион.Организ,40 лет Пион.организации,85.71
54152,Горка,ул. Горка,Горушка,83.33
54321,40-лет. Победы,ул. 40-лет. Победы,40лет Победы,92.31
54435,Генерала Зинина,ул. Генерала Зинина,Генерала Зимина,93.33
54452,Белореченская,ул. Белореченская,Чернореченская,81.48
54526,Тюлена,ул. Тюлена,Тюленина,85.71
54528,Караблестроителей,ул. Караблестроителей,Кораблестроителей,94.12
54562,Керженецкая,ул. Керженецкая,Керженская,85.71
54677,ул.50-лелия Победы,ул. 50-лелия Победы,50-летия Победы,93.33
54699,им.Героя Довыдова,ул. Им.Героя Довыдова,Им.Героя Давыдова,94.12
54747,уд.Александра Люкина,ул. Уд.Александра Люкина,Александра Люкина,91.89
54838,по-кт Кораблестроителей,ул. По-кт Кораблестроителей,Кораблестроителей,85.0
54866,ул.Сазонова,ул. Сазонова,Сазанова,87.5
54878,Им.Генерала Зимина,ул. Им.Генерала Зимина,Генерала Зимина,90.91
55009,Героя Довыдова,ул. Героя Довыдова,Героя Давыдова,92.86
55023,Путейная,ул. Путейная,Путейская,82.35
55071,8 Иарта,ул. 8 Иарта,8 Марта,85.71
55371,г.Довыдова ул.,ул. Г.Довыдова,Г.Давыдова,90.0
55429,Мухачевская,ул. Мухачевская,Пугачевская,81.82
55475,Полярная,ул. Полярная,Полянская,82.35
55488,Грудина,ул. Грудина,Грунина,85.71
55510,Металистов,ул. Металистов,Металлистов,95.24
55687,Куколевского,ул. Куколевского,Жуковского,81.82
55699,Страж Ревлюии,ул. Страж Ревлюии,Страж Революции,92.86
55702,ш.Мсковское,ш. Мсковское,Московское шоссе,94.74
55772,Кузнецово,ул. Кузнецово,Кузнецова,88.89
55810,пПвла Орлова,ул. ППвла Орлова,Павла Орлова,91.67
55856,Рим.Корсакова,ул. Рим.Корсакова,Р.Корсакова,91.67
55882,1-я Северная,ул. 1-я Северная,9-я Северная,91.67
55884,Ереминская,ул. Ереминская,Ереванская,80.0
56187,Гвардецев,ул. Гвардецев,Гвардейцев,94.74
56206,Марш.Казакова,ул. Марш.Казакова,М.Казакова,86.96
56351,пер.Курганский,пер. Курганский,пер.Тургайский,80.0
56561,Вахтанговна,ул. Вахтанговна,Вахтангова,95.24
56655,Пнфиловцев,ул. Пнфиловцев,Панфиловцев,95.24
56727,Юбилейны б-р,б-р Юбилейны,Юбилейный б-р,94.12
56750,Н.Гасстелло,ул. Н.Гасстелло,Н.Гастелло,95.24
56755,Рабкоров,ул. Рабкоров,Рабкоровская,80.0
56768,Тентюковская,ул. Тентюковская,Третьяковская,80.0
56857,Лобочевского,ул. Лобочевского,Лобачевского,91.67
56943,пер.Пургенева,пер. Пургенева,пер.Тургенева,88.89
56966,Казбекова,ул. Казбекова,Казакова,82.35
57004,г.Титова,ул. Г.Титова,Титова,85.71
57085,Зоречная,ул. Зоречная,Заречная,87.5
57215,Маршала Рокоссовского К.К.,ул. Маршала Рокоссовского К.К,Им.Маршала Рокоссовского К.К.,94.34
57287,Гагаринская,ул. Гагаринская,Гагинская,90.0
57379,ш. Мковскоеое,ш. Мковскоеое,Московское шоссе,80.0
57443,Даргомышского,ул. Даргомышского,Даргомыжского,92.31
57448,Знтузиастов,ул. Знтузиастов,Энтузиастов,90.91
57521,Железнодорожная 3-я,ул. Железнодорожная 3-я,Железнодорожная 1-я,94.74
57525,Бусыгна,ул. Бусыгна,Бусыгина,93.33
57566,16 линия,ул. 16 линия,1 линия,93.33
57645,им.академика Павлова,ул. Им.академика Павлова,Академика Павлова,86.49
57657,Циолковскаго,ул. Циолковскаго,Циолковского,91.67
57712,Мостотряд,ул. Мостотряд,Мостоотряд,94.74
57922,Кемерова,ул. Кемерова,Кемеровская,84.21
58020,Б.Юблейный,ул. Б.Юблейный,Б.Юбилейный,95.24
58045,Линия,ул. Линия,2 Линия,83.33
58113,Касимовскаяя,ул. Касимовскаяя,Касимовская,95.65
58363,Юрасова,ул. Юрасова,Юрасовская,82.35
58426,Александровский парк,ул. Александровский парк,Александровская,80.0
58491,Малозтажная,ул. Малозтажная,Малоэтажная,90.91
58514,Плотнечный пер.,пер. Плотнечный,Плотничный пер,90.0
58803,пр-кт Кораблестроителнлей,пр-кт Кораблестроителнлей,пр-кт Кораблестроителей,94.44
59178,Академика Блохиной,ул. Академика Блохиной,Академика И.Н.Блохиной,90.0
59193,Народня,ул. Народня,Народная,93.33
59246,кв.Лесной,ул. Кв.Лесной,Кв-л Лесной,80.0
59267,пр-т Молодежный,пр-кт Т Молодежный,пр-кт Молодежный,90.91
59306,Черняховскрго,ул. Черняховскрго,Черняховского,92.31
59489,Кенченская,ул. Кенченская,Керченская,90.0
59647,Мчурина,ул. Мчурина,Мичурина,93.33
59815,пр.М.Рачкова,пр-кт М.Рачкова,пр.Рачкова,87.5
59922,Сеченово,ул. Сеченово,Сеченова,87.5
60096,В.Реолюции,ул. В.Реолюции,В.Революции,95.24
60334,кв.Дружба,ул. Кв.Дружба,кв-л Дружба,80.0
60468,Смолянка,ул. Смолянка,Смолина,80.0
60683,Тадалушкина,ул. Тадалушкина,Талалушкина,90.91
60690,9-я линия,ул. 9-я линия,1-я линия,88.89
60976,Гогаля,ул. Гогаля,Гоголя,83.33
61046,Щербакова19,ул. Щербакова19,Щербакова,90.0
61048,прк-кт Кораблестроителей,ул. Прк-кт Кораблестроителей,Кораблестроителей,82.93
61194,Орджоникизде,ул. Орджоникизде,Орджоникидзе,91.67
61411,Герокв Космоса,ул. Герокв Космоса,Героев Космоса,92.86
61522,Рабрчая,ул. Рабрчая,Рабочая,85.71
61581,пер.Шоссеный,пер. Шоссеный,пер.Шоссейный,94.12
61588,Седунова,ул. Седунова,Седова,85.71
61641,Волжский рейс,ул. Волжский рейс,Волжский рейд,92.31
61660,Драгомыжского,ул. Драгомыжского,Даргомыжского,92.31
61695,Свобода,ул. Свобода,Свободная,87.5
61778,б-р 60-летия Октчбря,б-р 60-летия Октчбря,б-р 60-летия Октября,93.75
61779,Кичасова,ул. Кичасова,Кечасова,87.5
61851,Авиционная,ул. Авиционная,Авиационная,95.24
62120,Плоскова,ул. Плоскова,Плосково,87.5
62286,Нижнгородская,ул. Нижнгородская,Нижегородская,92.31
62567,пр.Караблестроителей,пр-кт Караблестроителей,пр-кт Кораблестроителей,94.12
62793,Ефремовпа,ул. Ефремовпа,Ефремова,94.12
62802,1я Линия,ул. 1я Линия,1-я Линия,94.12
62821,Дм..Павлова,ул. Дм..Павлова,Дм.Павлова,95.24
62867,Поязунова,ул. Поязунова,Ползунова,88.89
62871,Зеленогорская,ул. Зеленогорская,Зеленодольская,81.48
62930,Хмельницкого,ул. Хмельницкого,Б.Хмельницкого,92.31
62947,мещенский б-р,б-р Мещенский,Мещерский б-р,88.89
63066,40 лет Пионер.Организации,ул. 40 лет Пионер.Организации,40 лет Пион.организации,91.67
63162,Дубравная 2 лин.,ул. Дубравная 2 лин,Дубравная 2 линия,93.75
63230,Сегенова,ул. Сегенова,Сеченова,87.5
63394,Курзинская,ул. Курзинская,Курская,82.35
63426,"Озерная,5 линия","ул. Озерная,5 линия",Озерная 5 линия,93.33
63496,Шаляпина19а,ул. Шаляпина19а,Шаляпина,84.21
63519,Агрокомическая,ул. Агрокомическая,Агрономическая,92.86
63569,Ефимома Рубинчика,ул. Ефимома Рубинчика,Ефима Рубинчика,93.75
63586,Пески,ул. Пески,Н.Пески,83.33
63754,Ватрыкшонка,ул. Ватрыкшонка,Ватракшонка,90.91
63818,9-е Мая,ул. 9-е Мая,9 Мая,83.33
63822,Родиенова,ул. Родиенова,Родионова,88.89
63825,3й микрорайон,мкр. 3й,мкр 3-й,80.0
63891,Себерякова,ул. Себерякова,Сибирякова,80.0
63897,пр-т кап.Рачкова,пр-кт Т кап.Рачкова,пр.кап.Рачкова,83.33
63941,20-я линия,ул. 20-я линия,2-я линия,94.74
64040,Куьтуры,ул. Куьтуры,Культуры,93.33
64041,Починковская,ул. Починковская,Б.Починковская,92.31
64271,2 й Микрорайон,мкр. 2 й,2й Микрорайон,80.0
64353,Героя Чугурина,ул. Героя Чугурина,Героя Чугунова,85.71
64412,М.Покровская,ул. М.Покровская,Б.Покровская,91.67
64668,Миронова,ул. Миронова,Мирошникова,84.21
64719,Барнова,ул. Барнова,Баранова,93.33
64777,Лесокирзаводская,ул. Лесокирзаводская,Лесозаводская,89.66
64969,Завокзальная,ул. Завокзальная,Вокзальная,81.82
65151,Пыгунова,ул. Пыгунова,Прыгунова,94.12
65198,8-я Линия,ул. 8-я Линия,1-я Линия,88.89
65255,пер.Сталилетейный,пер. Сталилетейный,пер.Сталелитейный,84.62
65341,Пушкино,ул. Пушкино,Пушкина,85.71
65531,Волжкая Набережная,наб. Волжкая,Волжская Набережная,93.33
65554,Невтегазовская,ул. Невтегазовская,Нефтегазовская,92.86
65761,17 линия,ул. 17 линия,1 линия,93.33
65865,М.И.Ульянова,ул. М.И.Ульянова,Ульянова,80.0
65933,Урийского,ул. Урийского,Урицкого,82.35
65961,Шатковская,ул. Шатковская,Мартовская,80.0
65962,Петропавловская,ул. Петропавловская,Петрозаводская,82.76
66029,Дубрвная 10-линия,ул. Дубрвная 10-линия,Дубравная 10 линия,91.43
66055,Волновая,ул. Волновая,Вольная,80.0
66095,Зеливная,ул. Зеливная,Заливная,87.5
66127,1 Производственная,ул. 1 Производственная,2 Производственная,94.44
66187,Адмирала макарова,ул. Адмирала макарова,Адмирала Макарова,94.12
66189,Маршала воронова,ул. Маршала воронова,Маршала Воронова,93.75
66253,Кировградская,ул. Кировградская,Кировская,81.82
66254,Ступинина,ул. Ступинина,Ступишина,88.89
66545,Сл. Александровская,ул. Сл. Александровская,Александровская,88.24
66601,Кораблестроителей п4,ул. Кораблестроителей п4,Кораблестроителей,91.89
66708,кв. Молодежный,ул. Кв. Молодежный,Молодежный,83.33
66778,прд Лермонтова,ул. Прд Лермонтова,Лермонтова,83.33
66792,Сергея лазо,ул. Сергея лазо,Сергея Лазо,90.91
66876,Герой Космоса,ул. Герой Космоса,Гер Космоса,91.67
66976,Коминткрна,ул. Коминткрна,Коминтерна,90.0
67013,Понаморева,ул. Понаморева,Пономарева,80.0
67035,Приамурская,ул. Приамурская,Приморская,85.71
67040,1 Рабочий пер,пер. 1 Рабочий,пер.Рабочий,87.5
67124,2-я Вокзальная,ул. 2-я Вокзальная,Вокзальная,83.33
67157,Ботвина,ул. Ботвина,Боткина,85.71
67220,Тельман,ул. Тельман,Тельмана,93.33
67269,Мотова,ул. Мотова,Мостовая,85.71
67277,1й Микрорайон,мкр. 1й,МКР 1-й,80.0
67278,М.м.Казакова,ул. М.м.Казакова,М.Казакова,90.91
67288,Бараева,ул. Бараева,Баранова,80.0
67400,Л.Толсого,ул. Л.Толсого,Л.Толстого,94.74
67760,Еловая,ул. Еловая,Елховская,80.0
67819,Шольная,ул. Шольная,Школьная,93.33
67835,Ситкина,ул. Ситкина,Силкина,85.71
67925,Карнинского,ул. Карнинского,Карпинского,90.91
67967,Кротина,ул. Кротина,Костина,85.71
68045,Ленская,ул. Ленская,Ленинская,87.5
68126,Светлова,ул. Светлова,Свердлова,82.35
68170,Хабаровская,ул. Хабаровская,Харьковская,81.82
68199,Г.Двыдова,ул. Г.Двыдова,Г.Давыдова,94.74
68206,9я Северная,ул. 9я Северная,9-я Северная,95.65
68221,30лет Октября,ул. 30лет Октября,40лет Октября,92.31
68318,Зленая,ул. Зленая,Зеленая,92.31
68341,Петухова,ул. Петухова,Петрова,80.0
68343,70 лет октября,ул. 70 лет октября,70 лет Октября,92.86
68354,Шиборского,ул. Шиборского,Шимборского,95.24
68447,Моксовское шоссе,ш. Моксовское,Московское шоссе,90.0
68587,Янаульская,ул. Янаульская,Барнаульская,81.82
68593,Таборская,ул. Таборская,Тамбовская,84.21
68727,Маршала жукова,ул. Маршала жукова,Маршала Жукова,92.86
68749,Леопильная,ул. Леопильная,Лесопильная,95.24
68751,Красныз зорь,ул. Красныз зорь,Красных зорь,91.67
68780,ордеевская,ул. Ордеевская,Гордеевская,85.71
68789,Профинтрна,ул. Профинтрна,Профинтерна,95.24
68797,Шамкина,ул. Шамкина,Шапкина,85.71
69075,"Дубравная,6 лин","ул. Дубравная,6 лин",Дубравная 6 линия,87.5
69263,Народая,ул. Народая,Народная,93.33
69342,Бурнаковский пр-зд,пр-кт Бурнаковский -зд,пр-д Бурнаковский,80.0
69725,1 Строителя,ул. 1 Строителя,Строитель,80.0
69858,Возрожденская,ул. Возрожденская,Возрождения,83.33
69875,Молодая гвардия,ул. Молодая гвардия,Молодая Гвардия,93.33
69910,Новосеьская,ул. Новосеьская,Новосельская,95.65
69976,Айвозовского,ул. Айвозовского,Айвазовского,91.67
70140,Актюбтинская,ул. Актюбтинская,Актюбинская,95.65
70203,Беломоркая,ул. Беломоркая,Беломорская,95.24
70281,Надежды сусловой,ул. Надежды сусловой,Надежды Сусловой,93.75
70310,пр-т Советский,пр-кт Т Советский,пр-кт Советский,90.0
70445,Н киты Рыбакова,ул. Н киты Рыбакова,Никиты Рыбакова,93.33
70660,Тбилисская,ул. Тбилисская,Тяблинская,80.0
70760,Красивая,ул. Красивая,Красная,80.0
70894,Мира 3,ул. Мира 3,Мира,80.0
71044,Сплавная,ул. Сплавная,Главная,80.0
71049,Сокольская,ул. Сокольская,Никольская,80.0
71373,Хохрякова,ул. Хохрякова,Корякова,82.35
71421,Евгения мирошникова,ул. Евгения мирошникова,Евгения Мирошникова,94.74
71464,Стрелковя,ул. Стрелковя,Стрелковая,94.74
71509,Колодинская,ул. Колодинская,Коломенская,81.82
71678,Ашарская,ул. Ашарская,Ошарская,87.5
71742,2 я линия,ул. 2 я линия,2-я линия,88.89
71856,Кперника,ул. Кперника,Коперника,94.12
71893,бр-р Юбилейный,ул. Бр-р Юбилейный,Б-Юбилейный,88.0
71972,Иаполкома,ул. Иаполкома,ул.Исполкома,88.89
72113,Шишкова,ул. Шишкова,В.Шишкова,87.5
72304,Моское шоссе,ш. Моское,Московсое ш,80.0
72384,Тимерязева,ул. Тимерязева,Тимирязева,90.0
72502,пр-т Кораблестроитедей,пр-кт Т Кораблестроитедей,пр-т Кораблестроителей,94.74
72674,Белковская,ул. Белковская,Балаковская,85.71
72691,Б.Юдилейный,ул. Б.Юдилейный,Б.Юбилейный,90.91
72728,Плпнировочная,ул. Плпнировочная,Планировочная,92.31
72758,Новая линния,ул. Новая линния,Новая линия,95.65
72785,ю-р Мещерский,ул. Ю-р Мещерский,Мещерский,81.82
72855,Шота Руставевели,ул. Шота Руставевели,Шота Руставели,93.33
72895,Пушкарская,ул. Пушкарская,Пушкинская,80.0
72977,Сомовское шоссе,ш. Сомовское,Сормовское шоссе,94.74
73243,Н.рыбакова,ул. Н.рыбакова,Н.Рыбакова,90.0
73251,3-я Северная,ул. 3-я Северная,9-я Северная,91.67
73391,Батуринская,ул. Батуринская,Батумская,80.0
73425,2я линия,ул. 2я линия,2-я линия,94.12
73527,Ступина,ул. Ступина,Ступишина,87.5
73547,Днедропетровская,ул. Днедропетровская,Днепропетровская,93.75
73654,М.Ульяновой,ул. М.Ульяновой,Ульяновой,90.0
73839,Высовольтная,ул. Высовольтная,Высоковольтная,92.31
73980,Москковское шоссе,ш. Москковское,Московское шоссе,95.24
74052,Станиславского31,ул. Станиславского31,Станиславского,93.33
74197,Красного Маяка,ул. Красного Маяка,Красногорка,80.0
74236,40 лет Пионерской орг.,ул. 40 лет Пионерской орг,40 лет Пионерской организации,84.0
74244,Им.Гагарина,ул. Им.Гагарина,Гагарина,84.21
